name,type,address,city,state,zipcode,phone,latitude,longitude
Children's Hospital & Research Center at Oakland,Children's Hospital,744 52nd Street,Oakland,CA,94609,(510) 428-3000,,
Lucile Salter Packard Children's Hospital at Stanford,Children's Hospital,725 Welch Road,Palo Alto,CA,94304,(650) 497-8000,,
Kindred Hospital-San Francisco Bay Area,Long Term Acute Care Hospital,2800 Benedict Drive,San Leandro,CA,94577,(510) 357-8300,,
UCSF-Mt. Zion Medical Center,Acute Short Term Hospital,400 Parnassus Avenue,San Francisco,CA,94143,(415) 476-1421,,
UCSF-Mt. Zion Medical Center,Acute Short Term Hospital,1600 Divisadero Street,San Francisco,CA,94115,(415) 567-6600,,
UCSF Medical Center,Acute Short Term Hospital,3641 California Street,San Francisco,CA,94118,(415) 668-0888,,
UCSF Medical Center,Acute Short Term Hospital,1800 Sutter Street,San Francisco,CA,94115,(415) 885-7886,,
UCSF Medical Center,Acute Short Term Hospital,505 Parnassus Avenue,San Francisco,CA,94143,(415) 476-1000,,
Alameda Health System,Acute Short Term Hospital,2070 Clinton Avenue,Alameda,CA,94501,(510) 522-3700,,
Alta Bates Summit Medical Center Ashby Campus,Acute Short Term Hospital,2001 Dwight Way,Berkeley,CA,94704,(510) 204-4444,,
Alta Bates Summit Medical Center Ashby Campus,Acute Short Term Hospital,3100 Summit Street,Oakland,CA,94609,(510) 869-8972,,
Alta Bates Summit Medical Center Ashby Campus,Acute Short Term Hospital,2450 Ashby Avenue,Berkeley,CA,94705,(510) 204-4444,,
John Muir Medical Center-Concord Campus,Acute Short Term Hospital,2540 East Street,Concord,CA,94520,(925) 682-8200,,
NorthBay Medical Center,Acute Short Term Hospital,1200B Gale Wilson Blvd.,Fairfield,CA,94533,(707) 646-5000,,
St. Rose Hospital,Acute Short Term Hospital,27200 Calaroga Avenue,Hayward,CA,94545,(510) 264-4000,,
El Camino Hospital,Acute Short Term Hospital,815 Pollard Road,Los Gatos,CA,95032,(408) 378-6131,,
El Camino Hospital,Acute Short Term Hospital,2500 Grant Road,Mountain View,CA,94040,(650) 940-7000,,
Seton Medical Center-Coastside,Acute Short Term Hospital,600 Marine Blvd.,Moss Beach,CA,94038,(650) 563-7100,,
Washington Hospital Healthcare System,Acute Short Term Hospital,2000 Mowry Avenue,Fremont,CA,94538,(510) 797-1111,,
Stanford Medical Center,Acute Short Term Hospital,300 Pasteur Drive,Palo Alto,CA,94305,(650) 723-4000,,
Sequoia Hospital,Acute Short Term Hospital,170 Alameda De Las Pulgas,Redwood City,CA,94062,(650) 367-5830,,
Natividad Medical Center,Acute Short Term Hospital,1441 Constitution Blvd.,Salinas,CA,93906,(831) 755-4111,,
Salinas Valley Memorial Hospital,Acute Short Term Hospital,450 East Romie Lane,Salinas,CA,93901,(831) 757-4333,,
Chinese Hospital,Acute Short Term Hospital,845 Jackson Street,San Francisco,CA,94133,(415) 982-2400,,
Seton Medical Center,Acute Short Term Hospital,1900 Sullivan Avenue,Daly City,CA,94015,(650) 992-4000,,
St. Francis Memorial Hospital,Acute Short Term Hospital,900 Hyde Street,San Francisco,CA,94109,(415) 353-6000,,
St. Mary's Medical Center,Acute Short Term Hospital,450 Stanyan Street,San Francisco,CA,94117,(415) 668-1000,,
Regional Medical Center of San Jose-HCA Affiliate,Acute Short Term Hospital,225 North Jackson Avenue,San Jose,CA,95116,(408) 259-5000,,
Good Samaritan Hospital - HCA Affiliate,Acute Short Term Hospital,2425 Samaritan Drive,San Jose,CA,95124,(408) 559-2011,,
O'Connor Hospital,Acute Short Term Hospital,2105 Forest Avenue,San Jose,CA,95128,(408) 947-2500,,
Santa Clara Valley Medical Center,Acute Short Term Hospital,751 South Bascom Avenue,San Jose,CA,95128,(408) 885-5000,,
Santa Clara Valley Medical Center,Acute Short Term Hospital,143 North Main Street,Milpitas,CA,95035,(408) 225-7470,,
Santa Clara Valley Medical Center,Acute Short Term Hospital,660 South Fair Oaks Avenue,Sunnyvale,CA,94086,(408) 299-5717,,
Santa Clara Valley Medical Center,Acute Short Term Hospital,"976 Lenzen Avenue, Suite 1100",San Jose,CA,95126,(408) 792-5200,,
Santa Clara Valley Medical Center,Acute Short Term Hospital,751 South Bascom Avenue,San Jose,CA,95128,(408) 885-5000,,
Marin General Hospital,Acute Short Term Hospital,250 Bon Air Road,Greenbrae,CA,94904,(415) 925-7000,,
Dominican Hospital,Acute Short Term Hospital,1555 Soquel Drive,Santa Cruz,CA,95065,(831) 462-7700,,
John Muir Medical Center-Walnut Creek Campus,Acute Short Term Hospital,"2305 Camino Ramon, Suite 108",San Ramon,CA,94583,(925) 947-3336,,
John Muir Medical Center-Walnut Creek Campus,Acute Short Term Hospital,1450 Treat Blvd.,Walnut Creek,CA,94597,(925) 947-3336,,
John Muir Medical Center-Walnut Creek Campus,Acute Short Term Hospital,1601 Ygnacio Valley Road,Walnut Creek,CA,94598,(925) 939-3000,,
Watsonville Community Hospital,Acute Short Term Hospital,75 Nielson Street,Watsonville,CA,95076,(831) 724-4741,,
San Ramon Regional Medical Center,Acute Short Term Hospital,6001 Norris Canyon Road,San Ramon,CA,94583,(925) 275-9200,,
ValleyCare Health System,Acute Short Term Hospital,1119 East Stanley Blvd.,Livermore,CA,94550,(925) 454-6342,,
ValleyCare Health System,Acute Short Term Hospital,5565 West Las Positas Blvd.,Pleasanton,CA,94588,(925) 416-3667,,
ValleyCare Health System,Acute Short Term Hospital,5725 West Las Positas Blvd.,Pleasanton,CA,94588,(925) 847-3000,,
ValleyCare Health System,Acute Short Term Hospital,1111 East Stanley Blvd.,Livermore,CA,94550,(925) 373-4060,,
ValleyCare Health System,Acute Short Term Hospital,5555 West Las Positas Blvd.,Pleasanton,CA,94588,(925) 847-3000,,
Saint Louise Regional Hospital,Acute Short Term Hospital,9400 No Name Uno,Gilroy,CA,95020,(408) 848-2000,,
UCSF-Benioff Children's Hospital,Acute Short Term Hospital,1600 Divisadero Street,San Francisco,CA,94115,(415) 567-6500,,
UCSF-Benioff Children's Hospital,Acute Short Term Hospital,1975 4th Street,San Francisco,CA,94158,(800) 444-2559,,
UCSF-Benioff Children's Hospital,Acute Short Term Hospital,505 Parnassus Avenue,San Francisco,CA,94143,(415) 476-1000,,
