"name","address","city","state","zipcode","phone","latitude","longitude"
"Children's Hospital & Research Center at Oakland","744 52nd Street","Oakland","CA",94609,"(510) 428-3000",37.8378162,-122.2678449
"Lucile Salter Packard Children's Hospital at Stanford","725 Welch Road","Palo Alto","CA",94304,"(650) 497-8000",37.4359889,-122.17512310000001
"Kindred Hospital-San Francisco Bay Area","2800 Benedict Drive","San Leandro","CA",94577,"(510) 357-8300",37.7161858,-122.13071939999998
"UCSF-Mt. Zion Medical Center","400 Parnassus Avenue","San Francisco","CA",94143,"(415) 476-1421",37.7642921,-122.4574255
"UCSF-Mt. Zion Medical Center","1600 Divisadero Street","San Francisco","CA",94115,"(415) 567-6600",37.7849112,-122.4391139
"UCSF Medical Center","3641 California Street","San Francisco","CA",94118,"(415) 668-0888",37.786018,-122.45417700000002
"UCSF Medical Center","1800 Sutter Street","San Francisco","CA",94115,"(415) 885-7886",37.7866679,-122.43027389999997
"UCSF Medical Center","505 Parnassus Avenue","San Francisco","CA",94143,"(415) 476-1000",37.7630895,-122.45781440000002
"Alameda Health System","2070 Clinton Avenue","Alameda","CA",94501,"(510) 522-3700",37.76281410000001,-122.25338679999999
"Alta Bates Summit Medical Center Ashby Campus","2001 Dwight Way","Berkeley","CA",94704,"(510) 204-4444",37.8643013,-122.26895819999999
"Alta Bates Summit Medical Center Ashby Campus","3100 Summit Street","Oakland","CA",94609,"(510) 869-8972",37.8202902,-122.26399789999999
"Alta Bates Summit Medical Center Ashby Campus","2450 Ashby Avenue","Berkeley","CA",94705,"(510) 204-4444",37.8557241,-122.257135
"John Muir Medical Center-Concord Campus","2540 East Street","Concord","CA",94520,"(925) 682-8200",37.9827242,-122.0334585
"NorthBay Medical Center","1200B Gale Wilson Blvd.","Fairfield","CA",94533,"(707) 646-5000",38.2618995,-122.04749449999997
"St. Rose Hospital","27200 Calaroga Avenue","Hayward","CA",94545,"(510) 264-4000",37.6337041,-122.08795199999997
"El Camino Hospital","815 Pollard Road","Los Gatos","CA",95032,"(408) 378-6131",37.2628039,-121.96947520000003
"El Camino Hospital","2500 Grant Road","Mountain View","CA",94040,"(650) 940-7000",37.3694772,-122.07991170000003
"Seton Medical Center-Coastside","600 Marine Blvd.","Moss Beach","CA",94038,"(650) 563-7100",37.526366,-122.5075688
"Washington Hospital Healthcare System","2000 Mowry Avenue","Fremont","CA",94538,"(510) 797-1111",37.55726,-121.97976040000003
"Stanford Medical Center","300 Pasteur Drive","Palo Alto","CA",94305,"(650) 723-4000",37.4332452,-122.17556330000002
"Sequoia Hospital","170 Alameda De Las Pulgas","Redwood City","CA",94062,"(650) 367-5830",37.4798384,-122.25467129999998
"Natividad Medical Center","1441 Constitution Blvd.","Salinas","CA",93906,"(831) 755-4111",36.6973764,-121.63316090000001
"Salinas Valley Memorial Hospital","450 East Romie Lane","Salinas","CA",93901,"(831) 757-4333",36.6591352,-121.6459423
"Chinese Hospital","845 Jackson Street","San Francisco","CA",94133,"(415) 982-2400",37.79552350000001,-122.4091871
"Seton Medical Center","1900 Sullivan Avenue","Daly City","CA",94015,"(650) 992-4000",37.6797615,-122.47450079999999
"St. Francis Memorial Hospital","900 Hyde Street","San Francisco","CA",94109,"(415) 353-6000",37.7895482,-122.41668620000002
"St. Mary's Medical Center","450 Stanyan Street","San Francisco","CA",94117,"(415) 668-1000",37.7741577,-122.4535866
"Regional Medical Center of San Jose-HCA Affiliate","225 North Jackson Avenue","San Jose","CA",95116,"(408) 259-5000",37.3625686,-121.84939830000002
"Good Samaritan Hospital - HCA Affiliate","2425 Samaritan Drive","San Jose","CA",95124,"(408) 559-2011",37.2516587,-121.94654400000002
"O'Connor Hospital","2105 Forest Avenue","San Jose","CA",95128,"(408) 947-2500",37.3277552,-121.93837889999998
"Santa Clara Valley Medical Center","751 South Bascom Avenue","San Jose","CA",95128,"(408) 885-5000",37.3128688,-121.93288110000003
"Santa Clara Valley Medical Center","143 North Main Street","Milpitas","CA",95035,"(408) 225-7470",37.43218,-121.90799300000003
"Santa Clara Valley Medical Center","660 South Fair Oaks Avenue","Sunnyvale","CA",94086,"(408) 299-5717",37.3648488,-122.02349620000001
"Santa Clara Valley Medical Center","976 Lenzen Avenue, Suite 1100","San Jose","CA",95126,"(408) 792-5200",37.3345017,-121.91182409999999
"Santa Clara Valley Medical Center","751 South Bascom Avenue","San Jose","CA",95128,"(408) 885-5000",37.3128688,-121.93288110000003
"Marin General Hospital","250 Bon Air Road","Greenbrae","CA",94904,"(415) 925-7000",37.9473222,-122.53611969999997
